allowEditableEmbedding	allowOutlines	allowPDFEmbedding	fontFamily	fontStyleName	fontStyleNameNative	fontType	name	fullName	fullNameNative	postscriptName
True	True	True	Apple Braille	Pinpoint 6 Dot	Pinpoint 6 Dot	k.TrueType	Apple Braille	Pinpoint 6 Dot	Apple Braille Pinpoint 6 Dot	Apple Braille Pinpoint 6 Dot	
True	True	True	Apple Braille	Pinpoint 8 Dot	Pinpoint 8 Dot	k.TrueType	Apple Braille	Pinpoint 8 Dot	Apple Braille Pinpoint 8 Dot	Apple Braille Pinpoint 8 Dot	
True	True	True	Apple Braille	Regular	Regular	k.TrueType	Apple Braille	Regular	Apple Braille	Apple Braille	
True	True	True	Apple Chancery	Chancery	Chancery	k.TrueType	Apple Chancery	Chancery	Apple Chancery	Apple Chancery	
True	True	True	Apple Symbols	Regular	Regular	k.TrueType	Apple Symbols	Regular	Apple Symbols	Apple Symbols	
True	True	True	Arial	Regular	Regular	k.OpenType_TT	Arial	Regular	Arial	Arial	
True	True	True	Arial	Italic	Italic	k.OpenType_TT	Arial	Italic	Arial Italic	Arial Italic	
True	True	True	Arial	Bold	Bold	k.OpenType_TT	Arial	Bold	Arial Bold	Arial Bold	
True	True	True	Arial	Bold Italic	Bold Italic	k.OpenType_TT	Arial	Bold Italic	Arial Bold Italic	Arial Bold Italic	
True	True	True	Arial Black	Regular	Regular	k.OpenType_TT	Arial Black	Regular	Arial Black	Arial Black	
True	True	True	Arial Narrow	Regular	Regular	k.OpenType_TT	Arial Narrow	Regular	Arial Narrow	Arial Narrow	
True	True	True	Arial Narrow	Italic	Italic	k.OpenType_TT	Arial Narrow	Italic	Arial Narrow Italic	Arial Narrow Italic	
True	True	True	Arial Narrow	Bold	Bold	k.OpenType_TT	Arial Narrow	Bold	Arial Narrow Bold	Arial Narrow Bold	
True	True	True	Arial Narrow	Bold Italic	Bold Italic	k.OpenType_TT	Arial Narrow	Bold Italic	Arial Narrow Bold Italic	Arial Narrow Bold Italic	
True	True	True	Arial Rounded MT Bold	Regular	Regular	k.OpenType_TT	Arial Rounded MT Bold	Regular	Arial Rounded MT Bold	Arial Rounded MT Bold	
True	True	True	Athelas	Regular	Regular	k.TrueType	Athelas	Regular	Athelas Regular	Athelas Regular	
True	True	True	Athelas	Italic	Italic	k.TrueType	Athelas	Italic	Athelas Italic	Athelas Italic	
True	True	True	Athelas	Bold	Bold	k.TrueType	Athelas	Bold	Athelas Bold	Athelas Bold	
True	True	True	Athelas	Bold Italic	Bold Italic	k.TrueType	Athelas	Bold Italic	Athelas Bold Italic	Athelas Bold Italic	
False	True	True	Avenir	Light	Light	k.TrueType	Avenir	Light	Avenir Light	Avenir Light	
False	True	True	Avenir	Light Oblique	Light Oblique	k.TrueType	Avenir	Light Oblique	Avenir Light Oblique	Avenir Light Oblique	
False	True	True	Avenir	Book	Book	k.TrueType	Avenir	Book	Avenir Book	Avenir Book	
False	True	True	Avenir	Roman 	Roman 	k.TrueType	Avenir	Roman 	Avenir Roman	Avenir Roman	
False	True	True	Avenir	Book Oblique	Book Oblique	k.TrueType	Avenir	Book Oblique	Avenir Book Oblique	Avenir Book Oblique	
False	True	True	Avenir	Oblique	Oblique	k.TrueType	Avenir	Oblique	Avenir Oblique	Avenir Oblique	
False	True	True	Avenir	Medium	Medium	k.TrueType	Avenir	Medium	Avenir Medium	Avenir Medium	
False	True	True	Avenir	Medium Oblique	Medium Oblique	k.TrueType	Avenir	Medium Oblique	Avenir Medium Oblique	Avenir Medium Oblique	
False	True	True	Avenir	Black	Black	k.TrueType	Avenir	Black	Avenir Black	Avenir Black	
False	True	True	Avenir	Black Oblique	Black Oblique	k.TrueType	Avenir	Black Oblique	Avenir Black Oblique	Avenir Black Oblique	
False	True	True	Avenir	Heavy	Heavy	k.TrueType	Avenir	Heavy	Avenir Heavy	Avenir Heavy	
False	True	True	Avenir	Heavy Oblique	Heavy Oblique	k.TrueType	Avenir	Heavy Oblique	Avenir Heavy Oblique	Avenir Heavy Oblique	
False	True	True	Avenir LT Std	85 Heavy	85 Heavy	k.OpenType_CFF	Avenir LT Std	85 Heavy	Avenir LT Std 85 Heavy	Avenir LT Std 85 Heavy	
False	True	True	Avenir LT Std	95 Black	95 Black	k.OpenType_CFF	Avenir LT Std	95 Black	Avenir LT Std 95 Black	Avenir LT Std 95 Black	
False	True	True	Avenir Next	Ultra Light	Ultra Light	k.TrueType	Avenir Next	Ultra Light	AvenirNext-UltraLight	AvenirNext-UltraLight	
False	True	True	Avenir Next	Ultra Light Italic	Ultra Light Italic	k.TrueType	Avenir Next	Ultra Light Italic	Avenir Next Ultra Light Italic	Avenir Next Ultra Light Italic	
False	True	True	Avenir Next	Regular	Regular	k.TrueType	Avenir Next	Regular	Avenir Next Regular	Avenir Next Regular	
False	True	True	Avenir Next	Italic	Italic	k.TrueType	Avenir Next	Italic	Avenir Next Italic	Avenir Next Italic	
False	True	True	Avenir Next	Medium	Medium	k.TrueType	Avenir Next	Medium	Avenir Next Medium	Avenir Next Medium	
False	True	True	Avenir Next	Medium Italic	Medium Italic	k.TrueType	Avenir Next	Medium Italic	Avenir Next Medium Italic	Avenir Next Medium Italic	
False	True	True	Avenir Next	Demi Bold	Demi Bold	k.TrueType	Avenir Next	Demi Bold	Avenir Next Demi Bold	Avenir Next Demi Bold	
